"M0","Mz","M_parallel"
0.1,1.9191691674743963e-7,0.4996655370920133
0.2,1.1736805136839546e-6,0.4986683178266029
0.3,1.464958403485401e-8,0.49702654535152
0.4,1.6103566779370273e-11,0.4947695526497629
0.5,1.0688206999662115e-7,0.4919363980929001
0.6,2.5743740561163923e-7,0.4885740801460818
0.7,4.6844778291971875e-8,0.48473552439907536
0.8,3.5329325455533696e-8,0.48047749786677746
0.9,1.205756825975289e-7,0.47585859222508387
1.,6.060420739611673e-8,0.47093739080609676
1.1,1.0066268219548682e-8,0.46577089989205145
1.15,1.5295562810568268e-8,0.46311273751655224
1.2,6.28174057014343e-7,0.4604132891450372
1.25,0.4162415978670784,5.89034915823888e-7
1.3,0.41109914101274114,1.382826240321509e-7
1.35,0.40594414409154855,8.755943282678379e-8
1.4,0.4007858037698205,6.843139354353839e-8
1.5,0.39049201686532925,4.279523587577622e-8
1.6,0.380276373969077,6.766900960778378e-9
1.7,0.37018669685508065,4.7212451112705206e-8
1.8,0.36026127732201385,2.0299487868863413e-8
1.9,0.350530119441974,1.294388880623595e-8
2.,0.34101612325045033,1.6536316051633035e-8
2.1,0.33173617497087216,2.6034924483592262e-8
2.2,0.3227021263362923,1.8037564100419682e-8
2.3,0.3139216576291031,2.356550095568954e-8
2.4,0.3053990269061589,7.724967736610608e-9
2.5,0.2971357126060523,2.1436365951082784e-8
2.6,0.2891309592585999,5.0068154479686194e-9
2.7,0.2813822370441077,4.422287190195839e-9
2.8,0.27388562601364025,8.167026678402183e-9
2.9,0.2666361352593432,8.813543515524816e-9
3.,0.25962796648067893,1.5110112427909312e-8
